epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2880.23,1.73786,2.40742,0.00735,0.13683,0.08959,0.0117,0.00854,1.82316,14.1035,0.00819,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2950.5,1.72983,2.39196,0.00757,0.36048,0.0369,0.01722,0.01195,1.94789,10.4545,0.00994,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3021.08,1.67196,2.2987,0.00738,0.14125,0.11774,0.01394,0.01141,1.98997,12.1322,0.01028,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3092.18,1.72983,2.31654,0.00727,0.16867,0.06696,0.01191,0.00836,2.04577,10.785,0.01057,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3162.95,1.6882,2.30964,0.00732,0.2679,0.08359,0.01616,0.01164,1.99791,11.7397,0.00984,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3233.74,1.70859,2.26474,0.00709,0.23179,0.07221,0.0178,0.01346,1.9059,11.6113,0.00932,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3321.03,1.70258,2.27702,0.00735,0.4776,0.03208,0.01972,0.01469,1.96759,10.4217,0.00998,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3438.59,1.70964,2.22492,0.00704,0.36707,0.03125,0.02008,0.01505,1.87843,14.349,0.00896,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3552.68,1.67805,2.23573,0.00712,0.17737,0.07879,0.01592,0.01122,1.85879,10.7819,0.00913,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3662.2,1.67153,2.146,0.00695,0.13401,0.02951,0.01042,0.00693,1.95875,10.0132,0.00919,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3732.59,1.63826,2.11156,0.00691,0.07285,0.12975,0.01059,0.00769,1.86409,11.609,0.00883,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3829.13,1.66557,2.1008,0.00707,0.37025,0.03695,0.01969,0.01482,1.84161,12.4784,0.00827,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3901.4,1.64924,2.0994,0.00688,0.14816,0.10215,0.01821,0.01383,1.85527,12.6599,0.00875,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3972.63,1.69363,2.098,0.00685,0.0808,0.09021,0.01654,0.01328,1.79393,11.1238,0.00912,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4042.76,1.6317,2.03878,0.00685,0.08141,0.10528,0.0208,0.01601,1.77195,12.6417,0.00805,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
